latitude,longitude,datetime,confidence,date,surface_temperature_celcius
-37.067,141.5547,2018-07-02T04:29:10,69,02-07-18,36
-37.333,141.557,2018-07-02T04:29:00,88,02-07-18,58
-37.333,141.5582,2018-07-02T04:29:00,88,02-07-18,58
-37.886,141.5586,2018-07-02T04:28:42,50,02-07-18,28
-37.886,141.5597,2018-07-02T04:28:42,50,02-07-18,28
-37.062,141.5629,2018-07-01T13:11:41,53,01-07-18,29
-37.062,141.5645,2018-07-01T13:11:41,53,01-07-18,29
-36.779,141.5655,2018-07-01T03:46:08,61,01-07-18,32
-36.779,141.5686,2018-07-01T03:46:08,61,01-07-18,32
-36.834,141.5705,2018-06-30T04:41:25,78,30-06-18,44
-36.834,141.5711,2018-06-30T04:41:25,78,30-06-18,44
-37.858,141.5717,2018-06-30T00:27:19,81,30-06-18,48
-37.856,141.5733,2018-06-30T00:27:19,75,30-06-18,41
-37.856,141.5759,2018-06-30T00:27:19,75,30-06-18,41
-37.858,141.5775,2018-06-30T00:27:19,81,30-06-18,48
-36.4274,141.5804,2018-06-22T03:50:20,71,22-06-18,46
-36.3674,141.5806,2018-06-20T04:05:20,78,20-06-18,51
-36.3782,141.5832,2018-06-20T04:02:00,78,20-06-18,51
-36.3774,141.5856,2018-06-20T04:02:00,91,20-06-18,68
-36.3756,141.5898,2018-06-20T04:02:00,100,20-06-18,88
-36.369,141.5899,2018-06-20T04:02:00,97,20-06-18,80
-36.3799,141.5901,2018-06-20T04:02:00,100,20-06-18,89
-36.7179,141.5904,2018-06-18T04:14:00,70,18-06-18,45
-37.8387,141.5907,2018-06-18T04:14:00,53,18-06-18,39
-37.3583,141.5916,2018-06-16T04:34:30,66,16-06-18,43
-36.7084,141.5941,2018-06-16T04:26:10,64,16-06-18,42
-36.2669,141.5948,2018-06-14T04:44:10,61,14-06-18,45
-36.2693,141.5953,2018-06-14T04:43:00,94,14-06-18,85
-36.3769,141.596,2018-06-14T04:40:10,55,14-06-18,39
-36.059,141.5966,2018-06-14T04:38:30,69,14-06-18,44
-36.0201,141.5977,2018-06-13T04:02:00,62,13-06-18,41
-37.6767,141.6041,2018-06-11T04:09:40,62,11-06-18,41
-37.6662,141.6048,2018-06-11T04:08:00,64,11-06-18,42
-36.009,141.6071,2018-06-09T04:23:25,72,09-06-18,39
-36.358,141.6092,2018-06-09T04:23:20,84,09-06-18,52
-36.701,141.6093,2018-06-09T04:23:16,86,09-06-18,56
-36.5775,141.6103,2018-06-07T04:39:00,76,07-06-18,50
-36.1858,141.6122,2018-06-07T04:36:00,55,07-06-18,39
-36.0966,141.6125,2018-06-07T04:35:50,86,07-06-18,61
-36.2111,141.6139,2018-06-07T04:35:40,68,07-06-18,44
-36.5794,141.6158,2018-06-07T04:35:30,53,07-06-18,39
-36.1002,141.6164,2018-06-07T04:33:50,96,07-06-18,78
-36.3096,141.6168,2018-06-07T04:32:10,85,07-06-18,59
-36.2229,141.618,2018-06-07T04:32:10,61,07-06-18,41
-36.0279,141.6183,2018-06-07T04:32:10,52,07-06-18,38
-37.1405,141.6197,2018-06-07T04:32:10,81,07-06-18,54
-37.7052,141.6199,2018-06-07T04:32:10,72,07-06-18,46
-36.2127,141.6209,2018-06-07T04:32:10,78,07-06-18,51
-36.3114,141.6231,2018-06-07T04:32:10,85,07-06-18,59
-36.4325,141.6234,2018-06-07T04:32:10,90,07-06-18,67
-36.6851,141.6245,2018-06-04T04:08:30,71,04-06-18,46
-36.6833,141.6325,2018-06-04T04:08:20,86,04-06-18,61
-36.7685,141.6328,2018-06-04T04:08:10,91,04-06-18,69
-37.4661,141.6331,2018-06-04T04:02:30,58,04-06-18,40
-37.9243,141.6347,2018-06-04T04:02:10,74,04-06-18,48
-36.7801,141.6351,2018-06-04T04:02:10,91,04-06-18,68
-37.926,141.6358,2018-06-04T04:02:10,85,04-06-18,59
-36.4422,141.6376,2018-06-04T04:02:10,54,04-06-18,39
-36.251,141.6378,2018-06-04T04:02:10,59,04-06-18,40
-37.5865,141.6385,2018-06-03T04:56:40,70,03-06-18,45
-37.5915,141.64,2018-06-03T04:56:40,75,03-06-18,49
-36.4553,141.6407,2018-06-02T04:23:00,76,02-06-18,49
-36.6296,141.6411,2018-06-02T04:20:50,70,02-06-18,45
-36.0005,141.6412,2018-06-02T04:15:00,70,02-06-18,45
-36.2032,141.6416,2018-06-02T04:14:40,64,02-06-18,42
-35.779,141.6458,2018-06-02T04:14:10,65,02-06-18,42
-36.0459,141.6477,2018-06-02T04:14:10,74,02-06-18,48
-36.404,141.6511,2018-06-02T04:14:10,74,02-06-18,48
-36.4025,141.6521,2018-06-02T04:14:10,83,02-06-18,57
-36.5507,141.6548,2018-06-02T04:14:10,83,02-06-18,57
-36.6312,141.6567,2018-06-02T04:14:10,62,02-06-18,41
-36.837,141.6604,2018-06-02T04:14:10,77,02-06-18,51
-36.6732,141.6612,2018-06-01T05:10:50,79,01-06-18,52
-36.6686,141.6635,2018-06-01T05:09:20,82,01-06-18,56
-37.1815,141.6647,2018-05-26T04:12:00,71,26-05-18,46
-36.3334,141.6649,2018-05-26T04:08:10,60,26-05-18,41
-37.1875,141.6664,2018-05-26T04:08:10,79,26-05-18,52
-37.189,141.6684,2018-05-26T04:08:10,85,26-05-18,59
-37.0585,141.6708,2018-05-24T04:20:20,61,24-05-18,41
-36.6859,141.6716,2018-05-24T00:04:20,59,24-05-18,40
-36.575,141.6716,2018-05-24T00:01:50,56,24-05-18,40
-38.0427,141.6738,2018-05-23T00:59:40,77,23-05-18,50
-37.903,141.6752,2018-05-23T00:58:00,84,23-05-18,59
-38.0446,141.6772,2018-05-23T00:55:10,75,23-05-18,48
